person_id,trip_id,purpose,mode,origin_type,origin_x,origin_y,dest_type,dest_x,dest_y,start_time,end_time,duration,status,path_cost,real_distance,wait_time
Person_5457,Person_5457_1,working,car,home,7667.009459738731,4920.531952194179,university,6753.286006283763,3714.7935438899995,10866.24,11436.48,570.2399999999998,COMPLETED,0,0,0
Person_6492,Person_6492_1,working,car,home,7004.485989969746,3999.9883515868687,city,10159.910029921817,195.30711077929786,11344.32,11439.36,95.04000000000087,COMPLETED,0,0,0
Person_5571,Person_5571_1,working,train,home,8110.370177414471,3268.7454103263253,,8351.70415135049,2763.8378920000764,8945.28,11439.36,2494.08,COMPLETED,0,0,0
Person_6535,Person_6535_1,working,car,home,5723.291765627843,657.875206907027,city,10159.910029921817,195.30711077929786,11044.8,11442.24,397.4400000000005,COMPLETED,0,0,0
Person_751,Person_751_1,working,car,home,4771.159705068488,7798.325282355149,university,6980.17060882167,3727.0047244733337,11404.8,11442.24,37.44000000000051,COMPLETED,0,0,0
Person_871,Person_871_1,working,car,home,8823.743956002807,3395.764974415637,school,8930.382961603776,3399.952793477875,11404.8,11442.24,37.44000000000051,COMPLETED,0,0,0
Person_7343,Person_7343_1,working,car,home,7568.465822623495,3416.896413113459,university,5887.791508799354,2982.146731596164,11165.76,11450.88,285.119999999999,COMPLETED,0,0,0
Person_5666,Person_5666_1,working,car,home,10159.910029921817,195.30711077929786,yes,6714.046932549196,3929.056891145951,11404.8,11456.64,51.840000000000146,COMPLETED,0,0,0
Person_1462,Person_1462_1,working,car,home,10159.910029921817,195.30711077929786,yes,7884.005999747017,3244.0848094552293,11286.72,11459.52,172.8000000000011,COMPLETED,0,0,0
Person_3774,Person_3774_1,working,walking,home,7605.123374679133,3300.689340113678,yes,6694.3777628634225,4485.026446798328,7686.72,11462.4,3775.6799999999994,COMPLETED,0,0,0
Person_9734,Person_9734_1,working,car,home,5389.4911698888545,2900.7335415277894,city,10159.910029921817,195.30711077929786,11286.72,11468.16,181.4400000000005,COMPLETED,0,0,0
Person_8274,Person_8274_1,working,walking,home,7699.7911243056715,5399.754614347111,school,8931.956712799021,3487.121609324863,7505.28,11468.16,3962.88,COMPLETED,0,0,0
Person_9045,Person_9045_1,working,train,home,7287.463234782105,3828.1593115810583,,6383.066520287023,4062.6484057004186,7326.72,11471.04,4144.320000000001,COMPLETED,0,0,0
Person_5038,Person_5038_1,accompany,walking,home,5780.17362678978,4796.281972143363,,7810.367422043018,5115.689545846603,7202.88,11473.92,4271.04,COMPLETED,0,0,0
Person_9209,Person_9209_1,working,car,home,10159.910029921817,195.30711077929786,yes,5936.785788531401,975.0799136362486,11404.8,11479.68,74.88000000000102,COMPLETED,0,0,0
Person_9660,Person_9660_1,working,car,home,7430.818490232785,2197.129304019808,city,10159.910029921817,195.30711077929786,11344.32,11482.56,138.23999999999978,COMPLETED,0,0,0
Person_449,Person_449_1,working,train,home,5663.279508038481,2336.9496140942824,,6383.066520287023,4062.6484057004186,604.8,11482.56,10877.76,COMPLETED,0,0,0
Person_4176,Person_4176_1,working,train,home,5800.957992864016,4845.0347977588835,,6383.066520287023,4062.6484057004186,7686.72,11482.56,3795.8399999999992,COMPLETED,0,0,0
Person_2946,Person_2946_1,working,walking,home,8847.626670494945,2466.2350073893404,yes,7376.688363470233,2257.031593631426,7804.8,11491.2,3686.4000000000005,COMPLETED,0,0,0
Person_5327,Person_5327_1,working,car,home,6219.725522173489,3600.9842945840496,city,4065.2060983642004,1289.6729660000035,11465.28,11505.6,40.31999999999971,COMPLETED,0,0,0
Person_6427,Person_6427_1,working,car,home,4771.159705068488,7798.325282355149,yes,8655.902430054093,4179.701938454007,11165.76,11511.36,345.60000000000036,COMPLETED,0,0,0
Person_4514,Person_4514_1,working,train,home,6425.272695966241,4433.852087080538,,6383.066520287023,4062.6484057004186,7804.8,11514.24,3709.4399999999996,COMPLETED,0,0,0
Person_4723,Person_4723_1,working,car,home,5729.94740799856,632.0621263101676,city,10159.910029921817,195.30711077929786,10866.24,11520.0,653.7600000000002,COMPLETED,0,0,0
Person_4756,Person_4756_1,working,car,home,10159.910029921817,195.30711077929786,university,5887.791508799354,2982.146731596164,11105.28,11520.0,414.71999999999935,COMPLETED,0,0,0
Person_8365,Person_8365_1,working,car,home,5779.631481494454,895.9026587624342,city,10159.910029921817,195.30711077929786,11165.76,11520.0,354.2399999999998,COMPLETED,0,0,0
Person_8352,Person_8352_1,working,walking,home,8901.460187012115,2506.290123516297,school,8738.74136084426,2592.9727978284686,11344.32,11520.0,175.6800000000003,COMPLETED,0,0,0
Person_7692,Person_7692_1,working,car,home,8133.641830556138,3038.074096073824,kindergarten,7813.595747654742,5246.369333041357,10926.72,11522.88,596.1599999999999,COMPLETED,0,0,0
